,name,manufacturer,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
0,100% Bran,Nabisco,Cold,70,4,1,0.13,10.0,5.0,6,0.28,25,3,1.0,0.33,68.402973
1,100% Natural Bran,Quaker,Cold,120,3,5,0.015,2.0,8.0,8,0.135,0,3,1.0,1.0,33.983678999999995
2,All-Bran,Kellogs,Cold,70,4,1,0.26,9.0,7.0,5,0.32,25,3,1.0,0.33,59.425505
3,All-Bran with Extra Fiber,Kellogs,Cold,50,4,0,0.14,14.0,8.0,0,0.33,25,3,1.0,0.5,93.704912
4,Almond Delight,Ralston Purina,Cold,110,2,2,0.2,1.0,14.0,8,0.0,25,3,1.0,0.75,34.384843
5,Apple Cinnamon Cheerios,General Mills,Cold,110,2,2,0.18,1.5,10.5,10,0.07,25,1,1.0,0.75,29.509541
6,Apple Jacks,Kellogs,Cold,110,2,0,0.125,1.0,11.0,14,0.03,25,2,1.0,1.0,33.174094000000004
7,Basic 4,General Mills,Cold,130,3,2,0.21,2.0,18.0,8,0.1,25,3,1.33,0.75,37.038562
8,Bran Chex,Ralston Purina,Cold,90,2,1,0.2,4.0,15.0,6,0.125,25,1,1.0,0.67,49.120253000000005
9,Bran Flakes,Post,Cold,90,3,0,0.21,5.0,13.0,5,0.19,25,3,1.0,0.67,53.313813
10,Cap'n'Crunch,Quaker,Cold,120,1,2,0.22,0.0,12.0,12,0.035,25,2,1.0,0.75,18.042851000000002
11,Cheerios,General Mills,Cold,110,6,2,0.29,2.0,17.0,1,0.105,25,1,1.0,1.25,50.764998999999996
12,Cinnamon Toast Crunch,General Mills,Cold,120,1,3,0.21,0.0,13.0,9,0.045,25,2,1.0,0.75,19.823573
13,Clusters,General Mills,Cold,110,3,2,0.14,2.0,13.0,7,0.105,25,3,1.0,0.5,40.400208
14,Cocoa Puffs,General Mills,Cold,110,1,1,0.18,0.0,12.0,13,0.055,25,2,1.0,1.0,22.736446
15,Corn Chex,Ralston Purina,Cold,110,2,0,0.28,0.0,22.0,3,0.025,25,1,1.0,1.0,41.445019
16,Corn Flakes,Kellogs,Cold,100,2,0,0.29,1.0,21.0,2,0.035,25,1,1.0,1.0,45.863324
17,Corn Pops,Kellogs,Cold,110,1,0,0.09,1.0,13.0,12,0.02,25,2,1.0,1.0,35.782790999999996
18,Count Chocula,General Mills,Cold,110,1,1,0.18,0.0,12.0,13,0.065,25,2,1.0,1.0,22.396513
