,team1,team2,round,winner,t1t_g,t1t_mp,t1t_fg,t1t_fga,t1t_fg_pct,t1t_fg2,t1t_fg2a,t1t_fg2_pct,t1t_fg3,t1t_fg3a,t1t_fg3_pct,t1t_ft,t1t_fta,t1t_ft_pct,t1t_orb,t1t_drb,t1t_trb,t1t_ast,t1t_stl,t1t_blk,t1t_tov,t1t_pf,t1t_pts,t1t_pts_per_g,t1o_g,t1o_mp,t1o_fg,t1o_fga,t1o_fg_pct,t1o_fg2,t1o_fg2a,t1o_fg2_pct,t1o_fg3,t1o_fg3a,t1o_fg3_pct,t1o_ft,t1o_fta,t1o_ft_pct,t1o_orb,t1o_drb,t1o_trb,t1o_ast,t1o_stl,t1o_blk,t1o_tov,t1o_pf,t1o_pts,t1o_pts_per_g,t2t_g,t2t_mp,t2t_fg,t2t_fga,t2t_fg_pct,t2t_fg2,t2t_fg2a,t2t_fg2_pct,t2t_fg3,t2t_fg3a,t2t_fg3_pct,t2t_ft,t2t_fta,t2t_ft_pct,t2t_orb,t2t_drb,t2t_trb,t2t_ast,t2t_stl,t2t_blk,t2t_tov,t2t_pf,t2t_pts,t2t_pts_per_g,t2o_g,t2o_mp,t2o_fg,t2o_fga,t2o_fg_pct,t2o_fg2,t2o_fg2a,t2o_fg2_pct,t2o_fg3,t2o_fg3a,t2o_fg3_pct,t2o_ft,t2o_fta,t2o_ft_pct,t2o_orb,t2o_drb,t2o_trb,t2o_ast,t2o_stl,t2o_blk,t2o_tov,t2o_pf,t2o_pts,t2o_pts_per_g,t_g,o_g,t_mp,o_mp,t_fg,o_fg,t_fga,o_fga,t_fg_pct,o_fg_pct,t_fg2,o_fg2,t_fg2a,o_fg2a,t_fg2_pct,o_fg2_pct,t_fg3,o_fg3,t_fg3a,o_fg3a,t_fg3_pct,o_fg3_pct,t_ft,o_ft,t_fta,o_fta,t_ft_pct,o_ft_pct,t_orb,o_orb,t_drb,o_drb,t_trb,o_trb,t_ast,o_ast,t_stl,o_stl,t_blk,o_blk,t_tov,o_tov,t_pf,o_pf,t_pts,o_pts,t_pts_per_g,o_pts_per_g
0,Belmont,Temple,1,1,32,6450,1015,2029,.500,681,1136,.599,334,893,.374,427,578,.739,277,961,1238,631,218,121,371,493,2791,87.2,32,6450,865,2041,.424,618,1320,.468,247,721,.343,383,549,.698,300,825,1125,390,197,112,398,533,2360,73.8,33,6700,873,1998,.437,626,1250,.501,247,748,.330,472,649,.727,316,820,1136,476,284,73,368,580,2465,74.7,33,6700,841,1897,.443,602,1170,.515,239,727,.329,437,643,.680,325,897,1222,421,182,85,485,550,2358,71.5,-1.0,0.0,-250.0,0.0,142.0,32.0,31.0,101.0,0.063,-0.006000000000000005,55.0,24.0,-114.0,80.0,0.09799999999999998,-0.014000000000000012,87.0,8.0,145.0,21.0,0.043999999999999984,0.0010000000000000009,-45.0,35.0,-71.0,6.0,0.01200000000000001,0.04699999999999993,-39.0,-9.0,141.0,-77.0,102.0,-86.0,155.0,55.0,-66.0,102.0,48.0,-12.0,3.0,-117.0,-87.0,30.0,326.0,107.0,12.5,3.200000000000003
1,North Dakota State,North Carolina Central,1,1,33,6650,828,1816,.456,513,955,.537,315,861,.366,445,575,.774,218,824,1042,383,159,82,349,492,2416,73.2,33,6650,885,1921,.461,641,1240,.517,244,681,.358,368,491,.749,264,824,1088,395,175,86,328,547,2382,72.2,33,6625,850,1866,.456,638,1193,.535,212,673,.315,443,620,.715,387,840,1227,509,207,92,506,590,2355,71.4,33,6625,806,1857,.434,602,1206,.499,204,651,.313,372,558,.667,300,716,1016,430,198,119,444,536,2188,66.3,0.0,0.0,25.0,0.0,-22.0,44.0,-50.0,9.0,0.0,0.02200000000000002,-125.0,36.0,-238.0,-13.0,0.0020000000000000018,0.03600000000000003,103.0,8.0,188.0,22.0,0.05099999999999999,0.0020000000000000018,2.0,71.0,-45.0,62.0,0.05900000000000005,0.04799999999999993,-169.0,87.0,-16.0,124.0,-185.0,211.0,-126.0,79.0,-48.0,9.0,-10.0,-27.0,-157.0,62.0,-98.0,54.0,61.0,167.0,1.7999999999999972,5.1000000000000085
2,Arizona State,St. John's (NY),1,1,32,6500,851,1903,.447,619,1223,.506,232,680,.341,556,829,.671,389,894,1283,435,199,103,434,635,2490,77.8,32,6500,775,1878,.413,501,1062,.472,274,816,.336,514,725,.709,320,811,1131,425,203,111,445,693,2338,73.1,33,6675,922,2031,.454,641,1253,.512,281,778,.361,433,597,.725,252,824,1076,463,290,110,341,628,2558,77.5,33,6675,831,1912,.435,553,1096,.505,278,816,.341,528,746,.708,348,933,1281,450,171,80,508,560,2468,74.8,-1.0,0.0,-175.0,0.0,-71.0,91.0,-128.0,119.0,-0.007000000000000006,0.019000000000000017,-22.0,88.0,-30.0,157.0,-0.006000000000000005,0.007000000000000006,-49.0,3.0,-98.0,-38.0,-0.019999999999999962,0.019999999999999962,123.0,-95.0,232.0,-149.0,-0.05399999999999994,0.017000000000000015,137.0,-96.0,70.0,-109.0,207.0,-205.0,-28.0,13.0,-91.0,119.0,-7.0,30.0,93.0,-167.0,7.0,68.0,-68.0,90.0,0.29999999999999716,2.700000000000003
3,Prairie View,Fairleigh Dickinson,1,0,35,7000,903,2062,.438,678,1359,.499,225,703,.320,596,875,.681,393,761,1154,444,309,55,445,758,2627,75.1,35,7000,863,1887,.457,648,1207,.537,215,680,.316,606,875,.693,393,922,1315,445,174,152,637,759,2547,72.8,34,6900,906,1889,.480,643,1238,.519,263,651,.404,496,680,.729,315,810,1125,478,254,128,460,564,2571,75.6,34,6900,874,1978,.442,606,1209,.501,268,769,.349,412,592,.696,376,764,1140,451,209,110,497,612,2428,71.4,1.0,0.0,100.0,0.0,-3.0,32.0,173.0,-89.0,-0.04199999999999998,0.03799999999999998,35.0,37.0,121.0,29.0,-0.020000000000000018,0.018000000000000016,-38.0,-5.0,52.0,-118.0,-0.08400000000000002,0.05500000000000005,100.0,84.0,195.0,88.0,-0.04799999999999993,0.03300000000000003,78.0,-61.0,-49.0,46.0,29.0,-15.0,-34.0,27.0,55.0,45.0,-73.0,18.0,-15.0,-37.0,194.0,-48.0,56.0,143.0,-0.5,4.199999999999989
4,Duke,North Dakota State,2,1,34,6825,1037,2173,.477,790,1355,.583,247,818,.302,518,751,.690,455,966,1421,541,322,232,446,539,2839,83.5,34,6825,858,2171,.395,637,1418,.449,221,753,.293,360,521,.691,407,806,1213,418,222,108,498,600,2297,67.6,33,6650,828,1816,.456,513,955,.537,315,861,.366,445,575,.774,218,824,1042,383,159,82,349,492,2416,73.2,33,6650,885,1921,.461,641,1240,.517,244,681,.358,368,491,.749,264,824,1088,395,175,86,328,547,2382,72.2,1.0,0.0,175.0,0.0,209.0,-57.0,357.0,-105.0,0.020999999999999963,-0.0050000000000000044,277.0,-128.0,400.0,-285.0,0.04599999999999993,0.020000000000000018,-68.0,71.0,-43.0,180.0,-0.064,0.008000000000000007,73.0,77.0,176.0,84.0,-0.08400000000000007,0.025000000000000022,237.0,-46.0,142.0,0.0,379.0,-46.0,158.0,-12.0,163.0,-16.0,150.0,-4.0,97.0,21.0,47.0,-55.0,423.0,34.0,10.299999999999997,1.0
5,VCU,UCF,2,0,32,6450,801,1811,.442,572,1066,.537,229,745,.307,455,652,.698,347,827,1174,444,255,145,446,634,2286,71.4,32,6450,678,1765,.384,515,1175,.438,163,590,.276,452,656,.689,366,763,1129,346,206,81,520,626,1971,61.6,31,6225,765,1652,.463,554,1056,.525,211,596,.354,495,767,.645,300,839,1139,411,178,139,367,524,2236,72.1,31,6225,715,1810,.395,498,1117,.446,217,693,.313,346,536,.646,347,725,1072,388,174,86,380,665,1993,64.3,1.0,0.0,225.0,0.0,36.0,50.0,159.0,-158.0,-0.02100000000000002,0.068,18.0,56.0,10.0,-61.0,0.01200000000000001,0.07900000000000001,18.0,-6.0,149.0,-97.0,-0.046999999999999986,0.04099999999999998,-40.0,149.0,-115.0,231.0,0.052999999999999936,-0.0010000000000000009,47.0,-47.0,-12.0,114.0,35.0,67.0,33.0,23.0,77.0,4.0,6.0,53.0,79.0,-13.0,110.0,-141.0,50.0,243.0,-0.6999999999999886,7.799999999999997
6,Mississippi State,Liberty,2,1,33,6650,911,1929,.472,627,1177,.533,284,752,.378,446,624,.715,385,798,1183,468,267,164,439,564,2552,77.3,33,6650,824,1885,.437,583,1202,.485,241,683,.353,425,597,.712,338,720,1058,413,195,121,448,544,2314,70.1,34,6800,921,1877,.491,621,1061,.585,300,816,.368,374,485,.771,263,850,1113,505,217,91,373,513,2516,74.0,34,6800,741,1785,.415,525,1110,.473,216,675,.320,368,549,.670,285,753,1038,341,177,88,463,525,2066,60.8,-1.0,0.0,-150.0,0.0,-10.0,180.0,52.0,92.0,-0.019000000000000017,0.07600000000000001,6.0,96.0,116.0,-49.0,-0.051999999999999935,0.11199999999999999,-16.0,84.0,-64.0,141.0,0.010000000000000009,0.04799999999999999,72.0,6.0,139.0,-64.0,-0.05600000000000005,0.10099999999999998,122.0,-22.0,-52.0,97.0,70.0,75.0,-37.0,164.0,50.0,40.0,73.0,3.0,66.0,-90.0,51.0,-12.0,36.0,450.0,3.299999999999997,13.200000000000003
7,Virginia Tech,Saint Louis,2,1,32,6450,824,1732,.476,517,953,.542,307,779,.394,413,545,.758,285,758,1043,491,213,74,363,489,2368,74.0,32,6450,690,1701,.406,407,848,.480,283,853,.332,324,449,.722,286,673,959,389,162,93,450,522,1987,62.1,35,7000,836,1999,.418,635,1347,.471,201,652,.308,474,793,.598,480,912,1392,454,248,142,446,611,2347,67.1,35,7000,778,1900,.409,552,1178,.469,226,722,.313,449,625,.718,300,862,1162,427,207,138,455,660,2231,63.7,-3.0,0.0,-550.0,0.0,-12.0,58.0,-267.0,99.0,0.057999999999999996,0.009000000000000008,-118.0,83.0,-394.0,169.0,0.07100000000000006,0.0020000000000000018,106.0,-25.0,127.0,-70.0,0.08600000000000002,-0.0050000000000000044,-61.0,25.0,-248.0,168.0,0.16000000000000003,-0.12,-195.0,180.0,-154.0,50.0,-349.0,230.0,37.0,27.0,-35.0,41.0,-68.0,4.0,-83.0,-9.0,-122.0,-49.0,21.0,116.0,6.900000000000006,3.3999999999999915
8,Maryland,Belmont,2,1,32,6400,807,1777,.454,575,1120,.513,232,657,.353,437,584,.748,351,901,1252,423,139,151,420,495,2283,71.3,32,6400,744,1876,.397,508,1137,.447,236,739,.319,358,498,.719,296,683,979,387,228,110,303,562,2082,65.1,32,6450,1015,2029,.500,681,1136,.599,334,893,.374,427,578,.739,277,961,1238,631,218,121,371,493,2791,87.2,32,6450,865,2041,.424,618,1320,.468,247,721,.343,383,549,.698,300,825,1125,390,197,112,398,533,2360,73.8,0.0,0.0,-50.0,0.0,-208.0,150.0,-252.0,-12.0,-0.045999999999999985,0.07600000000000001,-106.0,63.0,-16.0,-184.0,-0.08599999999999997,0.13099999999999995,-102.0,87.0,-236.0,172.0,-0.02100000000000002,0.030999999999999972,10.0,44.0,6.0,29.0,0.009000000000000008,0.041000000000000036,74.0,-23.0,-60.0,136.0,14.0,113.0,-208.0,241.0,-79.0,21.0,30.0,9.0,49.0,-27.0,2.0,-40.0,-508.0,431.0,-15.900000000000006,13.400000000000006
9,LSU,Yale,2,1,32,6575,912,1974,.462,693,1297,.534,219,677,.323,561,744,.754,431,810,1241,420,291,138,422,597,2604,81.4,32,6575,821,1884,.436,570,1148,.497,251,736,.341,444,645,.688,353,726,1079,357,209,94,480,630,2337,73.0,29,5875,866,1740,.498,644,1143,.563,222,597,.372,399,542,.736,249,870,1119,495,172,126,383,494,2353,81.1,29,5875,751,1828,.411,532,1127,.472,219,701,.312,402,549,.732,276,707,983,369,203,87,327,501,2123,73.2,3.0,0.0,700.0,0.0,46.0,115.0,234.0,-88.0,-0.035999999999999976,0.08700000000000002,49.0,112.0,154.0,16.0,-0.028999999999999915,0.09099999999999997,-3.0,3.0,80.0,-104.0,-0.04899999999999999,0.06,162.0,-3.0,202.0,-7.0,0.018000000000000016,0.0040000000000000036,182.0,-27.0,-60.0,163.0,122.0,136.0,-75.0,126.0,119.0,-31.0,12.0,39.0,39.0,56.0,103.0,-7.0,251.0,230.0,0.30000000000001137,7.8999999999999915
