,g,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pts_per_g,Team
0,33,6625,806,1857,.434,602,1206,.499,204,651,.313,372,558,.667,300,716,1016,430,198,119,444,536,2188,66.3,North Carolina Central
1,33,6650,885,1921,.461,641,1240,.517,244,681,.358,368,491,.749,264,824,1088,395,175,86,328,547,2382,72.2,North Dakota State
2,33,6700,841,1897,.443,602,1170,.515,239,727,.329,437,643,.680,325,897,1222,421,182,85,485,550,2358,71.5,Temple
3,32,6450,865,2041,.424,618,1320,.468,247,721,.343,383,549,.698,300,825,1125,390,197,112,398,533,2360,73.8,Belmont
4,34,6825,858,2171,.395,637,1418,.449,221,753,.293,360,521,.691,407,806,1213,418,222,108,498,600,2297,67.6,Duke
5,32,6450,678,1765,.384,515,1175,.438,163,590,.276,452,656,.689,366,763,1129,346,206,81,520,626,1971,61.6,VCU
6,31,6225,715,1810,.395,498,1117,.446,217,693,.313,346,536,.646,347,725,1072,388,174,86,380,665,1993,64.3,UCF
7,33,6650,824,1885,.437,583,1202,.485,241,683,.353,425,597,.712,338,720,1058,413,195,121,448,544,2314,70.1,Mississippi State
8,34,6800,741,1785,.415,525,1110,.473,216,675,.320,368,549,.670,285,753,1038,341,177,88,463,525,2066,60.8,Liberty
9,32,6450,690,1701,.406,407,848,.480,283,853,.332,324,449,.722,286,673,959,389,162,93,450,522,1987,62.1,Virginia Tech
10,35,7000,778,1900,.409,552,1178,.469,226,722,.313,449,625,.718,300,862,1162,427,207,138,455,660,2231,63.7,Saint Louis
11,32,6400,744,1876,.397,508,1137,.447,236,739,.319,358,498,.719,296,683,979,387,228,110,303,562,2082,65.1,Maryland
12,32,6575,821,1884,.436,570,1148,.497,251,736,.341,444,645,.688,353,726,1079,357,209,94,480,630,2337,73.0,LSU
13,29,5875,751,1828,.411,532,1127,.472,219,701,.312,402,549,.732,276,707,983,369,203,87,327,501,2123,73.2,Yale
14,33,6700,790,1949,.405,562,1230,.457,228,719,.317,430,617,.697,321,820,1141,383,193,114,375,637,2238,67.8,Louisville
15,34,6825,868,1999,.434,640,1326,.483,228,673,.339,388,566,.686,336,836,1172,436,203,153,385,653,2352,69.2,Minnesota
16,34,6850,793,2098,.378,546,1320,.414,247,778,.317,395,582,.679,372,714,1086,421,218,100,349,622,2228,65.5,Michigan State
17,34,6825,756,1838,.411,515,1104,.466,241,734,.328,456,638,.715,305,822,1127,406,193,85,424,630,2209,65.0,Bradley
18,34,6900,874,1978,.442,606,1209,.501,268,769,.349,412,592,.696,376,764,1140,451,209,110,497,612,2428,71.4,Fairleigh Dickinson
19,35,7000,863,1887,.457,648,1207,.537,215,680,.316,606,875,.693,393,922,1315,445,174,152,637,759,2547,72.8,Prairie View
20,33,6675,831,1912,.435,553,1096,.505,278,816,.341,528,746,.708,348,933,1281,450,171,80,508,560,2468,74.8,St. John's (NY)
21,32,6500,775,1878,.413,501,1062,.472,274,816,.336,514,725,.709,320,811,1131,425,203,111,445,693,2338,73.1,Arizona State
22,33,6600,788,2028,.389,571,1326,.431,217,702,.309,354,509,.695,357,715,1072,324,170,64,447,617,2147,65.1,Gonzaga
